org_key,year,event_key,match_key,match_number,time,alliance,team_key,scouter,Start_Position,Did_Score_In_Auto,Auto_Full_Cycles,Auto_Half_Cycles,End_Position,Climb_In_Auto,Started_With_Auto_Hub,Did_Intake_Fuel,Did_Shoot_Fuel,full_Score_Cycles,half_Score_Cycles,full_Lob_Cycles,half_Lob_Cycles,Did_Climb,Climb_Tier,Did_Feed_Outpost,Did_Lob_Neutral,Did_Lob_Opposite,Died_During_Match,Tipped_Over_During_Match,Got_Beached,Got_Stuck_Under_Trench,Got_Stuck_On_Bump,Got_Damaged,Defense_Quality,Shooter_Accuracy,Driver_Skill,RedCard,YellowCard,otherNotes,Accuracy_Percentage,Total_Auto_Points,Total_Teleop_Points,Total_Fuel_Lobbed,Total_Endgame_Points,Total_Contributed_Points,Total_Fuel_Points,Total_Climb_Points,AutoMistakeFlag,DidScoreMistakeFlag,DidIntakeMistakeFlag,superNotes
frc1912,2026,2026arc,2026arc_qm13,13,4/30/2026 2:36:00 PM,blue,frc9771,"Antonio","Tower","1","0","1","Alliance Zone","0","1","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","","4","1","3","0","0","","0.1","22.5","4.5","22.5","0","27","67.5","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm13,13,4/30/2026 2:36:00 PM,red,frc103,"2960 - Daxon","Outpost","0","0","0","Neutral Zone","0","0","1","1","3","2","1","0","0","0","1","1","0","0","0","0","0","0","","0","7","3","0","0","","0.7","0","168","60","0","168","240","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm14,14,4/30/2026 2:44:00 PM,red,frc1189,"2960 - Daxon","Outpost","1","1","1","Alliance Zone","0","1","1","1","2","3","0","1","0","0","0","1","0","0","0","0","0","0","","0","6","3","0","0","","0.6","66","92.39999999999999","22","0","158.39999999999998","220","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm14,14,4/30/2026 2:44:00 PM,blue,frc2583,"2137 - Michael A","Depot","1","1","0","Alliance Zone","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","","3","10","5","0","0","","1","49","171.5","0","0","220.5","220.5","0","0","1","1",""
frc1912,2026,2026arc,2026arc_qm14,14,4/30/2026 2:44:00 PM,blue,frc2826,"Antonio","Tower","0","0","0","Alliance Zone","0","0","1","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","","8","5","3","0","0","","0.5","0","56.25","0","0","56.25","112.5","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm15,15,4/30/2026 2:52:00 PM,red,frc2767,"2960 - Daxon","Tower","1","1","0","Alliance Zone","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","","4","9","3","0","0","","0.9","80","72","0","0","152","160","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm15,15,4/30/2026 2:52:00 PM,blue,frc3476,"2137 - Michael A","Outpost","1","1","0","Alliance Zone","0","0","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","10","3","0","0","","1","0","0","0","0","0","0","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm15,15,4/30/2026 2:52:00 PM,blue,frc4593,"Antonio","Depot","1","0","2","Alliance Zone","0","0","1","1","2","4","0","0","0","0","0","0","0","0","0","0","0","0","","0","5","3","0","0","","0.5","35","70","0","0","105","175","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm16,16,4/30/2026 3:00:00 PM,red,frc2137,"2960 - Daxon","Tower","1","1","0","Neutral Zone","0","1","1","1","0","0","1","3","0","0","0","1","0","0","0","0","0","0","","4","0","3","0","0","","0","87","0","217.5","0","87","87","0","1","0","0",""
frc1912,2026,2026arc,2026arc_qm16,16,4/30/2026 3:00:00 PM,red,frc9126,"9084 - Ari","Outpost","1","1","1","Alliance Zone","0","1","1","1","3","5","2","1","0","0","0","1","0","0","0","0","0","0","","0","9","4","0","0","They were literally the only bot still moving at the end","0.9","75","247.5","125","0","322.5","350","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm16,16,4/30/2026 3:00:00 PM,blue,frc8817,"Antonio","Outpost","1","1","0","Neutral Zone","0","0","1","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","","0","0","1","0","0","","0","46","0","46","0","46","92","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm17,17,4/30/2026 3:08:00 PM,red,frc131,"2137 - Lucas J","Tower","0","2","1","Alliance Zone","0","0","1","1","2","1","1","1","0","0","1","1","1","0","0","0","0","0","","7","9","4","0","0","","0.9","102.5","92.25","61.5","0","194.75","205","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm17,17,4/30/2026 3:08:00 PM,blue,frc1511,"Jakob","Depot","1","1","1","Neutral Zone","0","1","1","1","3","1","0","0","1","1","0","0","0","0","0","0","0","0","","0","4","2","0","0","","0.4","75","70","0","10","155","250","10","0","0","0",""
frc1912,2026,2026arc,2026arc_qm17,17,4/30/2026 3:08:00 PM,blue,frc10021,"9084 - Lucas S.","Outpost","0","1","1","Alliance Zone","0","1","0","0","5","4","2","1","0","0","0","1","1","0","0","0","0","0","","7","8","4","0","0","","0.8","82.5","308","137.5","0","390.5","467.5","0","0","1","1",""
frc1912,2026,2026arc,2026arc_qm17,17,4/30/2026 3:08:00 PM,blue,frc5801,"9084 - Shaoyang C.","Tower","1","0","3","Alliance Zone","0","1","1","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","","7","4","4","0","0","Defense bot","0.4","60","48","0","0","108","180","0","0","0","0",""
